decision_id,source_key,current_status,target_status,proposed_disposition,rationale,licence_as_read,reuse_dimensions_the_licence_would_support,decision_owner
H01-D11,druglabel.fda,PENDING_REVIEW,PENDING_REVIEW,ESCALATE_BEFORE_ANY_ACQUISITION,The source's own terms contradict themselves or are unreachable. A maintainer cannot resolve this; open api terms over possibly copyrighted content.,"CC0-1.0 FOR THE API, UNKNOWN FOR THE LABEL TEXT",LOCAL_STORAGE; INTERNAL_ANALYSIS; AUTOMATED_ACQUISITION; BULK_DOWNLOAD,source policy approver
H01-D12,druglabel.hcsc,PENDING_REVIEW,PENDING_REVIEW,DEFER_OUTSIDE_FIRST_RELEASE_SCOPE,Not required by any of the five first-release axes. Deferring is a scope decision and says nothing about the source's quality or terms.,UNKNOWN,none established,source policy approver
H01-D13,druglabel.pmda,PENDING_REVIEW,PENDING_REVIEW,DEFER_OUTSIDE_FIRST_RELEASE_SCOPE,Not required by any of the five first-release axes. Deferring is a scope decision and says nothing about the source's quality or terms.,UNKNOWN,none established,source policy approver
H01-D14,druglabel.swissmedic,PENDING_REVIEW,PENDING_REVIEW,DEFER_OUTSIDE_FIRST_RELEASE_SCOPE,Not required by any of the five first-release axes. Deferring is a scope decision and says nothing about the source's quality or terms.,UNKNOWN,none established,source policy approver
H01-D15,druglabel.titck,PENDING_REVIEW,PENDING_REVIEW,ESCALATE_BEFORE_ANY_ACQUISITION,The source's own terms contradict themselves or are unreachable. A maintainer cannot resolve this; required for jurisdiction but unreachable.,UNKNOWN,none established,source policy approver
H01-D16,internal.legacy_mvp_seed,PENDING_REVIEW,PENDING_REVIEW,DEFER_OUTSIDE_FIRST_RELEASE_SCOPE,Not required by any of the five first-release axes. Deferring is a scope decision and says nothing about the source's quality or terms.,UNKNOWN,none established,source policy approver
H01-D17,internal.legacy_probe_outputs,PENDING_REVIEW,PENDING_REVIEW,DEFER_OUTSIDE_FIRST_RELEASE_SCOPE,Not required by any of the five first-release axes. Deferring is a scope decision and says nothing about the source's quality or terms.,UNKNOWN,none established,source policy approver
H01-D18,internal.manual_normalization,PENDING_REVIEW,PENDING_REVIEW,DEFER_OUTSIDE_FIRST_RELEASE_SCOPE,Not required by any of the five first-release axes. Deferring is a scope decision and says nothing about the source's quality or terms.,UNKNOWN,none established,source policy approver
H01-D19,pubmed.literature,PENDING_REVIEW,PENDING_REVIEW,DEFER_OUTSIDE_FIRST_RELEASE_SCOPE,Not required by any of the five first-release axes. Deferring is a scope decision and says nothing about the source's quality or terms.,UNKNOWN,none established,source policy approver
H01-D20,rnpgx.publications,PENDING_REVIEW,PENDING_REVIEW,DEFER_OUTSIDE_FIRST_RELEASE_SCOPE,Not required by any of the five first-release axes. Deferring is a scope decision and says nothing about the source's quality or terms.,UNKNOWN,none established,source policy approver
